embedding_x,embedding_y
12.976307,39.50265
-7.565835,7.565263
-36.78062,30.908829
-35.229366,30.946161
-10.069203,24.099012
87.360565,1.3286471
25.632256,63.958885
-39.497223,25.914154
-44.77503,10.257499
-40.762356,20.929417
11.662263,49.477642
78.731766,-10.378021
-11.194669,9.268717
-54.973824,8.388363
18.664482,39.787395
-18.238783,0.5167133
-39.71868,21.77824
52.78841,21.928223
87.72582,1.4860417
-35.27941,30.98358
17.036211,39.720562
-18.746181,1.7319511
86.862366,1.1188605
49.49861,18.436693
87.395294,1.3310972
-34.39433,1.6472341
14.146083,38.94964
-35.993908,25.875523
-2.3693316,40.90041
-41.55404,25.132639
-26.346012,2.9338572
-13.59784,27.107416
-33.866367,26.566261
-34.70143,22.808058
-55.67938,25.16897
-45.540237,8.466833
-44.635643,15.312137
8.264592,34.276062
-41.323387,24.190327
-42.620213,22.814594
-37.494007,20.92164
-9.538777,32.73598
-39.539185,30.036407
-54.825657,5.643609
-35.6066,22.186827
-35.808155,11.482904
-45.668022,26.283464
85.86972,-2.4489133
-33.442165,14.637674
50.71498,19.427614
83.786026,-10.087811
-13.372817,27.345104
-51.682514,34.156494
-34.341003,22.781994
-37.34481,-3.858894
50.979206,19.704664
-7.1198087,27.017107
23.981676,67.06788
-51.34288,2.4947448
85.682045,-10.675716
-51.12933,3.377701
-30.063118,13.957188
-35.211277,11.048104
-18.92635,8.121727
35.961937,49.365593
-44.814377,14.334254
82.51123,-7.92243
84.43805,-7.405727
50.013298,18.336123
-49.07667,29.760134
-45.749317,23.261316
-35.221355,22.651657
37.28568,35.058155
8.509984,35.79515
-30.962599,-9.171558
39.95396,22.91369
-39.576233,22.765978
-64.524895,26.645447
-33.118233,9.414019
-21.866787,2.5244596
39.218784,24.824722
-41.414143,21.359722
-33.749626,10.251085
-35.29836,21.70072
-2.4041913,42.1504
27.637806,62.365276
-38.89445,-3.208694
-58.391163,29.772188
-45.296844,25.789194
-36.63024,31.224777
-53.275497,33.25655
-36.836823,7.939664
21.190754,69.20479
49.53355,18.417618
86.452576,-7.4074106
-15.722231,17.960587
-7.0549355,14.826232
-41.29764,-11.098326
-34.270153,10.422537
-51.322865,2.851695
-39.985596,29.243496
86.37465,-8.017032
-16.420115,35.656208
-58.100246,-41.74516
-39.873447,29.084808
-41.39238,22.856728
85.98878,-7.972716
70.683525,-14.028581
-58.59517,31.687693
70.673706,-14.049701
-65.95326,29.956419
-7.12078,8.78792
-19.792768,-0.07354368
10.0092125,54.015713
-2.9252286,23.247313
-19.527475,-5.793348
86.28038,-8.018353
-11.708577,10.406492
86.3684,-8.017332
